"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 09 14:12:24 UTC 2024","Tue Jul 09 14:12:24 UTC 2024","196","/SchedulingOptimizationRegression","/C811733 Publish schedules for generics","","","","pre-request Create company Office Location 1",""
"passed","Tue Jul 09 14:09:47 UTC 2024","Tue Jul 09 14:09:49 UTC 2024","1720","/permissions","/groups","","","","testPermissionsDeleteDuplicateGroupById",""
"failed","Tue Jul 09 14:10:25 UTC 2024","Tue Jul 09 14:10:25 UTC 2024","307","/learn","/data_collection","","","","testPatchSessionDrafts",""
"failed","Tue Jul 09 14:10:19 UTC 2024","Tue Jul 09 14:10:20 UTC 2024","722","/SchedulingOptimizationRegression","/C611059 Verify cases with existing draft editing(address, time, service code, date, provider) and replaceEvent Rollback logic","","","","test Post Optimization with Rollback","Verify Post status

Place - Scheduling > Draft Schedules > Draft Schedules tab"
"passed","Tue Jul 09 14:11:05 UTC 2024","Tue Jul 09 14:11:05 UTC 2024","864","/billing","/MembersApi","/Billing","","","test billingmanager.loadds5862","Path:

BILLING & TIMESHEETS > Billing > click Load Totals link at the end of the list"
"failed","Tue Jul 09 14:13:32 UTC 2024","Tue Jul 09 14:13:36 UTC 2024","3329","/SchedulingOptimizationRegression","/Provider Cxl Coverage - Publish draft schedule","","","","pre-request Validate Conflicts","Verify Post status

Place - Scheduling > Draft Schedules > Draft Schedules tab"
"passed","Tue Jul 09 14:10:50 UTC 2024","Tue Jul 09 14:10:51 UTC 2024","874","/learn","/criteria","","","","testBundles.setitemdatasettings",""
"passed","Tue Jul 09 14:11:18 UTC 2024","Tue Jul 09 14:11:18 UTC 2024","448","/learn","/bundle_add_data","","","","pre-requestPostBundles.getitemdata",""
"passed","Tue Jul 09 14:10:19 UTC 2024","Tue Jul 09 14:10:20 UTC 2024","866","Auth","","","","","auth",""
"passed","Tue Jul 09 14:16:31 UTC 2024","Tue Jul 09 14:16:31 UTC 2024","116","/SchedulingOptimizationRegression","/C951535 No Conflicts for recurring schedules up to 5 weeks Work/School","","","","pre-request Delete ServiceCode2",""
"passed","Tue Jul 09 14:11:05 UTC 2024","Tue Jul 09 14:11:05 UTC 2024","195","/bundles","/old version of endpoint","","","","testBundlesLoadDomains",""
"passed","Tue Jul 09 14:15:10 UTC 2024","Tue Jul 09 14:15:11 UTC 2024","263","/SchedulingOptimizationRegression","/Incorporate Weekly and Daily Limits","","","","pre-request C930865 delay 15 seconds",""
"passed","Tue Jul 09 14:10:14 UTC 2024","Tue Jul 09 14:10:19 UTC 2024","5336","/SchedulingOptimizationRegression","/C611080 Verify ServiceCodes, Activity logs of updateEvent with NEW Client Optimization","","","","pre-request Create Authorization2 file for Client2",""
"passed","Tue Jul 09 14:10:53 UTC 2024","Tue Jul 09 14:10:53 UTC 2024","304","/SchedulingOptimizationRegression","/C000008 Verify that service code is valid for optimization when it has a fee schedule with an insurance different from the associated client","","","","pre-request Add certification to ServiceCode1 rate",""
"passed","Tue Jul 09 14:09:22 UTC 2024","Tue Jul 09 14:09:23 UTC 2024","418","/SchedulingOptimizationRegression","/C000005 Verify that the drafts timezone of which is changed are completely publishing without errors","","","","pre-request Set Default Settings",""
"passed","Tue Jul 09 14:10:29 UTC 2024","Tue Jul 09 14:10:30 UTC 2024","991","/tasks","Support Staff & Administrators","","","","testPostContactsLoadbasics",""
