"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 09 07:23:22 UTC 2024","Tue Jul 09 07:23:22 UTC 2024","228","/SchedulingOptimizationRegression","/Historical Data in Clinic Algorithm","/C951297 Provider Prioritization in Clinic","","","pre-request Add Availability to Employee5",""
"passed","Tue Jul 09 07:19:56 UTC 2024","Tue Jul 09 07:19:57 UTC 2024","573","/learn","/criteria","","","","testPostActionStartForDataCollectionTimer",""
"passed","Tue Jul 09 07:17:23 UTC 2024","Tue Jul 09 07:17:23 UTC 2024","623","/SchedulingOptimizationRegression","/C000001 Verify that optimization is not failing if it consist drafts with addresses pairs with non computable routes(European addressess etc.)","","","","pre-request Add Availability to Employee2",""
"passed","Tue Jul 09 07:25:27 UTC 2024","Tue Jul 09 07:25:27 UTC 2024","204","/SchedulingOptimizationRegression","/C951535 No Conflicts for recurring schedules up to 5 weeks Work/School","","","","pre-request Delete Authorization1",""
"passed","Tue Jul 09 07:18:25 UTC 2024","Tue Jul 09 07:18:25 UTC 2024","219","/SchedulingOptimizationRegression","/C609045 Draft edit event Drawer works with locations without coordinates","","","","pre-request Location2 Delete",""
"passed","Tue Jul 09 07:20:44 UTC 2024","Tue Jul 09 07:20:45 UTC 2024","480","Auth","","","","","testGetToken",""
"passed","Tue Jul 09 07:18:54 UTC 2024","Tue Jul 09 07:18:54 UTC 2024","564","/SchedulingOptimizationRegression","/C611080 Verify ServiceCodes, Activity logs of updateEvent with NEW Client Optimization","","","","pre-request Add ServiceCode2 to Authorization2",""
"passed","Tue Jul 09 07:17:56 UTC 2024","Tue Jul 09 07:17:57 UTC 2024","1071","/sessions","","","","","testUpdateGoal_bundlesIitemsGoal",""
"passed","Tue Jul 09 07:18:00 UTC 2024","Tue Jul 09 07:18:01 UTC 2024","1041","/scheduling","/old version of endpoint","","","","testSchedulingLoadlabels",""
"passed","Tue Jul 09 07:24:38 UTC 2024","Tue Jul 09 07:25:09 UTC 2024","30279","/SchedulingOptimizationRegression","/C951535 No Conflicts for recurring schedules up to 5 weeks Clinical","","","","pre-request Connect Employee2 vs Clients NEW",""
"passed","Tue Jul 09 07:23:14 UTC 2024","Tue Jul 09 07:23:30 UTC 2024","15451","/SchedulingOptimizationRegression","/Historical Data in Clinic Algorithm","/C951298 Non-preferred provider is scheduled for the week when no preferred providers are available for the whole time","","","pre-request Connect Employees vs Client1 NEW",""
"passed","Tue Jul 09 07:18:47 UTC 2024","Tue Jul 09 07:18:47 UTC 2024","403","/SchedulingOptimizationRegression","/C000011 Verify that appointments are scheduled for clients that are connected to providers and have a custom rate for one of those providers on a service code associated with their authorization","","","","pre-request Create Employee1",""
"passed","Tue Jul 09 07:18:49 UTC 2024","Tue Jul 09 07:18:50 UTC 2024","1106","/scheduling","/old version of endpoint","","","","testSchedulingDeletecourse",""
"passed","Tue Jul 09 07:18:35 UTC 2024","Tue Jul 09 07:18:41 UTC 2024","6115","/SchedulingOptimizationRegression","/C000010 Implement ""Optimize Schedule By""","","","","authOldAPI",""
"passed","Tue Jul 09 07:19:58 UTC 2024","Tue Jul 09 07:19:59 UTC 2024","528","/learn","/criteria","","","","testDeleteItemFromSingleSessionTreeIndex",""
"passed","Tue Jul 09 07:24:39 UTC 2024","Tue Jul 09 07:24:39 UTC 2024","181","/SchedulingOptimizationRegression","/Historical Data in Clinic Algorithm","/C951299 Preferred client gets scheduled with their most preferred provider","","","pre-request change list of preferred providers","[https://centralreach.atlassian.net/browse/CRCH-18162](https://centralreach.atlassian.net/browse/CRCH-18162)

### Request

This endpoint allows updating the preferred providers for a specific client. The request should include the following payload in the raw request body type:

``` json
{
  ""useManualPreferredProviders"": true,
  ""preferredProviders"": [
      {{optimizationC951299NewEmployee2Id}},
      {{optimizationC951299NewEmployee1Id}}
  ]
}

 ```

- `optimizationC951299NewClient2Id` (path parameter) : The ID of the client for which the preferred providers are being updated.
    

### Response

The response for this request is a JSON object with the following schema:

``` json
{
  ""type"": ""object"",
  ""properties"": {
    ""preferredProviders"": {
      ""type"": ""array"",
      ""items"": {}
    },
    ""result"": {
      ""type"": ""string""
    },
    ""failed"": {
      ""type"": ""boolean""
    },
    ""cachedTime"": {
      ""type"": ""integer""
    }
  }
}

 ```

- `preferredProviders` (array) : An array of preferred providers.
    
- `result` (string) : The result of the operation.
    
- `failed` (boolean) : Indicates if the operation failed.
    
- `cachedTime` (integer) : The time at which the response was cached."
"passed","Tue Jul 09 07:19:58 UTC 2024","Tue Jul 09 07:19:58 UTC 2024","330","/contact","/MembersApi","/Client User > /Payors","","","pre-request Load Insurance",""
"passed","Tue Jul 09 07:22:13 UTC 2024","Tue Jul 09 07:22:14 UTC 2024","405","/SchedulingOptimizationRegression","/Optimization validation","","","","authOldAPI",""
"passed","Tue Jul 09 07:19:48 UTC 2024","Tue Jul 09 07:19:48 UTC 2024","594","/SchedulingOptimizationRegression","/C609011 Verify that applied  non authorized service codes and service codes which missed authorisation - not occurs error and allow to edit and save draft in existing draft appointments","","","","pre-request Delete ServiceCode2",""
"passed","Tue Jul 09 07:24:08 UTC 2024","Tue Jul 09 07:24:08 UTC 2024","490","/SchedulingOptimizationRegression","/Historical Data in Clinic Algorithm","/C951298 Non-preferred provider is scheduled for the week when no preferred providers are available for the whole time","","","pre-request Create Appointment Employee5",""
"passed","Tue Jul 09 07:18:13 UTC 2024","Tue Jul 09 07:18:15 UTC 2024","2347","/geo","","","","","testGeoGeocodeEnterprise400","Release: 7.10  
Ticket: CRCH-6687  
Description: Updated request to include new property ""providerStatusCode"""
"passed","Tue Jul 09 07:24:26 UTC 2024","Tue Jul 09 07:24:27 UTC 2024","887","/SchedulingOptimizationRegression","/Provider Cxl Coverage - Publish draft schedule","","","","pre-request Create Appointment1",""
"passed","Tue Jul 09 07:23:10 UTC 2024","Tue Jul 09 07:23:11 UTC 2024","259","/SchedulingOptimizationRegression","/Include Meal Break Gaps in Draft Schedule","30mins lunch break for providers working over 5hours","","","pre-request Add Availability to Employee2",""
"passed","Tue Jul 09 07:25:01 UTC 2024","Tue Jul 09 07:25:01 UTC 2024","255","/SchedulingOptimizationRegression","/C951535 No Conflicts for recurring schedules up to 5 weeks Work/School","","","","pre-request Create Authorization1 file for Client1",""
"passed","Tue Jul 09 07:18:02 UTC 2024","Tue Jul 09 07:18:03 UTC 2024","822","/bundles","/goals","","","","testGetBundlesGoalsTotalsResponse",""
"passed","Tue Jul 09 07:19:46 UTC 2024","Tue Jul 09 07:19:46 UTC 2024","329","/scheduling","Canceled appointments","","","","pre-request Deactivate Client",""
"passed","Tue Jul 09 07:17:12 UTC 2024","Tue Jul 09 07:17:13 UTC 2024","1539","Auth","","","","","auth",""
"passed","Tue Jul 09 07:19:19 UTC 2024","Tue Jul 09 07:19:20 UTC 2024","1022","/scheduling","The employee doesn't have permission  Contacts > Manage Own Basic Info","","","","Create Employee",""
"passed","Tue Jul 09 07:25:54 UTC 2024","Tue Jul 09 07:25:54 UTC 2024","169","/SchedulingOptimizationRegression","Provider Cancellation & Non-Billable Events Optimisation","","","","pre-request Add Primary Location to Employee1",""
"passed","Tue Jul 09 07:21:40 UTC 2024","Tue Jul 09 07:21:40 UTC 2024","280","/SchedulingOptimizationRegression","/Incorporate Weekly and Daily Limits","","","","pre-request Create Client2",""
"passed","Tue Jul 09 07:17:29 UTC 2024","Tue Jul 09 07:17:30 UTC 2024","384","/SchedulingOptimizationRegression","/C611059 Verify cases with existing draft editing(address, time, service code, date, provider) and replaceEvent Rollback logic","","","","pre-request Create Client5",""
"passed","Tue Jul 09 07:18:41 UTC 2024","Tue Jul 09 07:18:42 UTC 2024","1046","/payroll","/benefits","/plans","","","testAddPayrollBenefitsVariableRateHealthPlan",""
"passed","Tue Jul 09 07:25:27 UTC 2024","Tue Jul 09 07:25:27 UTC 2024","242","/SchedulingOptimizationRegression","Provider Cancellation & Non-Billable Events Optimisation","","","","pre-request Connect Employee4 vs Clients",""
"passed","Tue Jul 09 07:19:06 UTC 2024","Tue Jul 09 07:19:07 UTC 2024","1008","/learn","/data_collection","","","","pre-requestInternalContactsQuery",""
"passed","Tue Jul 09 07:20:18 UTC 2024","Tue Jul 09 07:20:19 UTC 2024","443","/contact","/MembersApi","/Client User > /HealthRecord","","","test contacts.deleteHealthExercise","Path:

Client Profile > Health Record > Exercise > Delete Existing"
"passed","Tue Jul 09 07:20:47 UTC 2024","Tue Jul 09 07:20:48 UTC 2024","464","/learn","/video","","","","testBundleStatus_makeActive",""
"passed","Tue Jul 09 07:19:48 UTC 2024","Tue Jul 09 07:19:49 UTC 2024","306","/SchedulingOptimizationRegression","/C611080 Verify ServiceCodes, Activity logs of updateEvent with NEW Client Optimization","","","","test C611080 Verify old Appointment2",""
"passed","Tue Jul 09 07:19:58 UTC 2024","Tue Jul 09 07:19:58 UTC 2024","255","/contact","/MembersApi","/Client User > /Payors","","","test resources.getresourceassociation","Path:

Client Profile > Payors > Click Make a Copy of This Insurance icon of existing Insurance"
"passed","Tue Jul 09 07:20:23 UTC 2024","Tue Jul 09 07:20:24 UTC 2024","490","/billing","Process Bulk Signature Activity","Provider signature","","","To be true",""
"passed","Tue Jul 09 07:23:15 UTC 2024","Tue Jul 09 07:23:15 UTC 2024","302","/SchedulingOptimizationRegression","/Historical Data in Clinic Algorithm","/C948378 Client Prioritization in Clinic","","","pre-request Create Appointment2 Client3",""
"passed","Tue Jul 09 07:19:53 UTC 2024","Tue Jul 09 07:19:53 UTC 2024","481","/SchedulingOptimizationRegression","/C811733 Publish schedules for generics","","","","pre-request Get Generic details",""
"failed","Tue Jul 09 07:19:09 UTC 2024","Tue Jul 09 07:19:10 UTC 2024","270","/bundles","/old version of endpoint","","","","testBundlesGenerateitemtestcert",""
"passed","Tue Jul 09 07:17:42 UTC 2024","Tue Jul 09 07:17:42 UTC 2024","743","/SchedulingOptimizationRegression","/C611059 Verify cases with existing draft editing(address, time, service code, date, provider) and replaceEvent Rollback logic","","","","pre-request Add Client1 payor to Authorization1",""
"passed","Tue Jul 09 07:19:42 UTC 2024","Tue Jul 09 07:19:42 UTC 2024","442","/contact","/MembersApi","/Provider User > /Ext.Profile","","","test contacts.setclientfocus","Path:

My Profile > Ext. Profile > Client Focus & Languages > Check some Focus"
"passed","Tue Jul 09 07:20:20 UTC 2024","Tue Jul 09 07:20:36 UTC 2024","15422","/SchedulingOptimizationRegression","/C000010 Implement ""Optimize Schedule By""","","","","pre-request C000010 delay 15 seconds NewSchedule/Balanced/AuthorizedHours",""
"passed","Tue Jul 09 07:17:36 UTC 2024","Tue Jul 09 07:17:38 UTC 2024","2261","Auth","","","","","authOldAPI",""
"passed","Tue Jul 09 07:25:06 UTC 2024","Tue Jul 09 07:25:06 UTC 2024","318","/SchedulingOptimizationRegression","/C951535 No Conflicts for recurring schedules up to 5 weeks Work/School","","","","pre-request Create Appointment3",""
"passed","Tue Jul 09 07:20:40 UTC 2024","Tue Jul 09 07:20:41 UTC 2024","554","/contact","/MembersApi","/Client User > /Utilities&Tools","","","test contacts.loadutilitiesconnectlist","Path:

Contacts > Utilities & Tools > Connect Clients > type some on ""Search for an employee, generic, or client"" field > choose some user from appeared list"
"passed","Tue Jul 09 07:20:54 UTC 2024","Tue Jul 09 07:20:54 UTC 2024","136","/learn","/form","","","","pre-requestContacts",""
"passed","Tue Jul 09 07:23:56 UTC 2024","Tue Jul 09 07:23:57 UTC 2024","530","/SchedulingOptimizationRegression","/Include Meal Break Gaps in Draft Schedule","30mins lunch break for providers working over 5hours","","","pre-request Location1 Delete",""
"passed","Tue Jul 09 07:19:35 UTC 2024","Tue Jul 09 07:19:36 UTC 2024","982","/SchedulingOptimizationRegression","/C000012 Verify that appointments are scheduled for clients that are connected to providers and have a service code that uses the default rate associated with their authorization","","","","pre-request Get FeeSchedule",""
"passed","Tue Jul 09 07:22:13 UTC 2024","Tue Jul 09 07:22:14 UTC 2024","369","/SchedulingOptimizationRegression","/Provider Cxl Coverage Split","","","","pre-request Create company Office Location 6",""
"passed","Tue Jul 09 07:20:08 UTC 2024","Tue Jul 09 07:20:13 UTC 2024","4988","/SchedulingOptimizationRegression","/C000012 Verify that appointments are scheduled for clients that are connected to providers and have a service code that uses the default rate associated with their authorization","","","","pre-request Add Client2 payor to Authorization2",""
"passed","Tue Jul 09 07:21:12 UTC 2024","Tue Jul 09 07:21:12 UTC 2024","156","/billing","old version of endpoint","","","","DELETE Service Code",""
"passed","Tue Jul 09 07:25:12 UTC 2024","Tue Jul 09 07:25:12 UTC 2024","185","/SchedulingOptimizationRegression","/C951535 No Conflicts for recurring schedules up to 5 weeks Clinical","","","","pre-request Get FeeSchedule",""
"passed","Tue Jul 09 07:19:21 UTC 2024","Tue Jul 09 07:19:21 UTC 2024","534","/claims","","","","","testClaimsSetfolderDelete",""
"passed","Tue Jul 09 07:20:36 UTC 2024","Tue Jul 09 07:20:36 UTC 2024","209","/SchedulingOptimizationRegression","/C000012 Verify that appointments are scheduled for clients that are connected to providers and have a service code that uses the default rate associated with their authorization","","","","test C000012 Open Status Drafts-2",""
"passed","Tue Jul 09 07:18:23 UTC 2024","Tue Jul 09 07:18:24 UTC 2024","932","/recon","/transactions","/labels","","","pre-request Delete Label",""
"passed","Tue Jul 09 07:17:14 UTC 2024","Tue Jul 09 07:17:15 UTC 2024","1525","Auth","","","","","authOldAPI",""
"passed","Tue Jul 09 07:23:48 UTC 2024","Tue Jul 09 07:23:49 UTC 2024","530","/SchedulingOptimizationRegression","/Historical Data in Clinic Algorithm","/C951298 Non-preferred provider is scheduled for the week when no preferred providers are available for the whole time","","","pre-request Create Appointment2 Employee1",""
"passed","Tue Jul 09 07:21:00 UTC 2024","Tue Jul 09 07:21:01 UTC 2024","192","/SchedulingOptimizationRegression","/Include Meal Break Gaps in Draft Schedule","30mins lunch break for providers working over 5hours","","","pre-request Connect Employee1 vs Client3",""
"passed","Tue Jul 09 07:19:02 UTC 2024","Tue Jul 09 07:19:06 UTC 2024","3820","/SchedulingOptimizationRegression","/C000005 Verify that the drafts timezone of which is changed are completely publishing without errors","","","","test C000005 POSTSchedulingOptimizationOptimize 2",""
